Year,Month,Tile,Id,Gender
2013,November,Gordon Crown,40779782,male
2013,November,Amir Khillah,41164149,male
2013,November,Toby Ziegler,976279,male
2013,November,Fang Zong-ao,38998003,male
2013,November,Gary McGraw,19689118,male
2013,November,Alex Nuttall,48307410,male
2013,November,Al (Allen) Schwartz,39836423,male
2013,November,Arno Tausch,38675598,male
2013,November,Jill Nicolini,5815466,female
2013,November,Frank Washington,46242943,male
2013,November,Geoff Abrams,41053707,male
2013,November,Robert Morey (pastor),6415377,male
2013,November,Mark Pearson (entrepreneur),37918274,male
2013,November,Captain's Reserve,26149362,male
2013,November,Un Souhait,9728921,male
2013,November,Joe Grushecky,16886641,male
2013,November,Erik Wahl,40781699,male
2013,November,DJ Kalkutta,48896091,male
2013,November,Madhurima Tuli,41050719,female
2013,November,Tarquin Blackwood,15188615,male
2013,November,Steve Zaragoza,43566554,male
2013,November,Felicity Shagwell,41142621,female
2013,November,Rodolfo Abrantes,26685778,male
2013,November,Richie Tankersley Cusick,1674014,female
2013,November,Anatole Klyosov,40058663,male
2013,November,Kristian Rothaermel,7989961,male
2013,November,Jagdish Sheth,4565750,male
2013,November,Myriam Joire,40871795,female
2013,November,Emily Fields,32782057,female
2013,November,Yvonne Haddad,22064710,female
2013,November,Silvan Zingg,25839516,male
2013,November,Clinton Welander,40952062,male
2013,November,"Wu Zetian, Empress of China",166437,female
2013,November,Eliezer Palczynski,26652672,male
2013,November,Leonid Efros,34403225,male
2013,November,Christian de la Campa,44158587,male
2013,November,Karol Wojtyła (senior),36472218,male
2013,November,Mohammad Ali Taheri,45307650,male
2013,November,Baronh,1466945,female
2013,November,Harry Moskowitz,44345010,male
2013,November,Tyrone Roberts,26309692,male
2013,November,Wes Hodges,20915770,male
2013,November,Mamed Khalidov,19123969,male
2013,November,Susan Nycum,41023782,female
2013,November,Andy Barclay,41093560,male
2013,November,John Scott-Taggart,41014347,male
2013,November,Michael Kantakouzenos (died 1316),13734487,male
2013,November,Erik Cordier,41215426,male
2013,November,Santo Manzanillo,34848205,male
2013,November,Lee Fang,32394587,male
2013,November,Frederick Webb Hodge,11057720,male
2013,November,David Birnbaum,42433874,male
2013,November,Nadia Bolz-Weber,40976967,female
2013,November,Daniel J. Mitchell,23603793,male
2013,November,Russell Blaylock,12666307,male
2013,November,Marilyn Price-Mitchell,40691391,female
2013,November,Tuğrul Erat,41623277,male
2013,November,Nevin Ashley,47752280,male
2013,November,Prager University,196660,male
2013,November,Robbie Widlansky,11531124,male
2013,November,Tameka Norris,35263548,female
2013,November,Przemysław Frasunek,15250555,male
2013,November,Betty Azar,14800670,female
2013,November,Mats Lidström,4775153,male
2013,November,Walt Harris (fighter),44457367,male
2013,November,Razak Khan,40626711,male
2013,November,Toby Ziegler,976279,male
2013,November,Paul Harris (public servant),38284659,male
2013,November,John Henningham,7610734,male
2013,November,Conrado Benitez,26187134,male
2013,November,Antonia Kidman,2095708,female
2013,November,Leonor Espinoza,39420818,female
2013,November,Claudius Xenophon,1530330,male
2013,November,Nasrollah Hekmat,40871475,male
2013,November,Emilie Schenkl,1969972,female
2013,November,Onyx (DJ),39750927,male
2013,November,Kevin C. Dittman,40966498,male
